rank_in_group,image_path,incorrect_tasks,mean_confidence,style_true_name,style_pred_name,genre_true_name,genre_pred_name,artist_true_name,artist_pred_name,verdict,suggested_label,notes,group
1,Impressionism/camille-pissarro_the-boulevards-under-snow-1879.jpg,genre,0.996849,Impressionism,Impressionism,cityscape,cityscape,Camille_Pissarro,Camille_Pissarro,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
2,Impressionism/pierre-auguste-renoir_reading-the-part-1876.jpg,genre,0.99665,Impressionism,Impressionism,portrait,portrait,Pierre_Auguste_Renoir,Pierre_Auguste_Renoir,likely_label_issue,portrait,Manual audit: model prediction 'portrait' is the correct genre label.,genre
3,Baroque/rembrandt_a-man-seated-at-a-table-covered-with-books-1636.jpg,genre,0.993085,Baroque,Baroque,sketch_and_study,sketch_and_study,Rembrandt,Rembrandt,likely_label_issue,sketch_and_study,Manual audit: model prediction 'sketch_and_study' is the correct genre label.,genre
4,Baroque/rembrandt_evangelist-writing.jpg,genre,0.992926,Baroque,Baroque,portrait,portrait,Rembrandt,Rembrandt,likely_label_issue,portrait,Manual audit: model prediction 'portrait' is the correct genre label.,genre
5,Romanticism/gustave-dore_the-darkness-at-the-crucifixion.jpg,genre,0.991633,Romanticism,Romanticism,illustration,illustration,Gustave_Dore,Gustave_Dore,likely_label_issue,illustration,Manual audit: model prediction 'illustration' is the correct genre label.,genre
6,Synthetic_Cubism/pablo-picasso_head-of-a-man-with-hat-1912.jpg,genre,0.991173,Synthetic_Cubism,Synthetic_Cubism,still_life,still_life,Pablo_Picasso,Pablo_Picasso,likely_label_issue,still_life,Manual audit: model prediction 'still_life' is the correct genre label.,genre
7,Post_Impressionism/vincent-van-gogh_meadow-with-flowers-1888.jpg,genre,0.990462,Post_Impressionism,Post_Impressionism,sketch_and_study,sketch_and_study,Vincent_van_Gogh,Vincent_van_Gogh,likely_label_issue,sketch_and_study,Manual audit: model prediction 'sketch_and_study' is the correct genre label.,genre
8,Northern_Renaissance/albrecht-durer_young-couple-threatened-by-death-promenade.jpg,genre,0.989917,Northern_Renaissance,Northern_Renaissance,religious_painting,religious_painting,Albrecht_Durer,Albrecht_Durer,likely_label_issue,religious_painting,Manual audit: model prediction 'religious_painting' is the correct genre label.,genre
9,Impressionism/john-singer-sargent_gondoliers-s-siesta-1905.jpg,genre,0.985724,Impressionism,Impressionism,cityscape,cityscape,John_Singer_Sargent,John_Singer_Sargent,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
10,Post_Impressionism/vincent-van-gogh_entrance-gate-to-a-farm-with-haystacks-1888(1).jpg,genre,0.985444,Post_Impressionism,Post_Impressionism,sketch_and_study,sketch_and_study,Vincent_van_Gogh,Vincent_van_Gogh,likely_label_issue,sketch_and_study,Manual audit: model prediction 'sketch_and_study' is the correct genre label.,genre
11,Impressionism/pierre-auguste-renoir_model-with-bare-breast-1916.jpg,genre,0.985415,Impressionism,Impressionism,nude_painting,nude_painting,Pierre_Auguste_Renoir,Pierre_Auguste_Renoir,likely_label_issue,nude_painting,Manual audit: model prediction 'nude_painting' is the correct genre label.,genre
12,Cubism/pablo-picasso_woman-sitting-in-an-armchair-1920.jpg,genre,0.98433,Cubism,Cubism,still_life,still_life,Pablo_Picasso,Pablo_Picasso,likely_label_issue,still_life,Manual audit: model prediction 'still_life' is the correct genre label.,genre
13,Impressionism/camille-pissarro_the-pont-neuf-1901-1.jpg,genre,0.983957,Impressionism,Impressionism,cityscape,cityscape,Camille_Pissarro,Camille_Pissarro,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
14,Impressionism/childe-hassam_the-spanish-steps-rome.jpg,genre,0.983806,Impressionism,Impressionism,cityscape,cityscape,Childe_Hassam,Childe_Hassam,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
15,Impressionism/childe-hassam_messenger-boy.jpg,genre,0.983544,Impressionism,Impressionism,cityscape,cityscape,Childe_Hassam,Childe_Hassam,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
16,Romanticism/ivan-aivazovsky_russian-squadron-on-the-raid-of-sevastopol-1846.jpg,genre,0.981791,Romanticism,Romanticism,cityscape,cityscape,Ivan_Aivazovsky,Ivan_Aivazovsky,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
17,Impressionism/childe-hassam_an-evening-street-scene-pont-aven.jpg,genre,0.981078,Impressionism,Impressionism,cityscape,cityscape,Childe_Hassam,Childe_Hassam,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
18,Northern_Renaissance/albrecht-durer_drawing-from-the-tarot-the-muse-thalia.jpg,genre,0.98085,Northern_Renaissance,Northern_Renaissance,sketch_and_study,sketch_and_study,Albrecht_Durer,Albrecht_Durer,likely_label_issue,sketch_and_study,Manual audit: model prediction 'sketch_and_study' is the correct genre label.,genre
19,Northern_Renaissance/albrecht-durer_couple-on-horseback.jpg,genre,0.980348,Northern_Renaissance,Northern_Renaissance,religious_painting,religious_painting,Albrecht_Durer,Albrecht_Durer,likely_label_issue,religious_painting,Manual audit: model prediction 'religious_painting' is the correct genre label.,genre
20,Symbolism/nicholas-roerich_monhigan-study-1922-16.jpg,genre,0.978087,Symbolism,Symbolism,sketch_and_study,sketch_and_study,Nicholas_Roerich,Nicholas_Roerich,likely_label_issue,sketch_and_study,Manual audit: model prediction 'sketch_and_study' is the correct genre label.,genre
21,Expressionism/martiros-saryan_aragats-1929.jpg,genre,0.977832,Expressionism,Expressionism,illustration,illustration,Martiros_Saryan,Martiros_Saryan,likely_label_issue,illustration,Manual audit: model prediction 'illustration' is the correct genre label.,genre
22,Impressionism/edgar-degas_two-dancers-at-rest.jpg,genre,0.977599,Impressionism,Impressionism,nude_painting,nude_painting,Edgar_Degas,Edgar_Degas,likely_label_issue,nude_painting,Manual audit: model prediction 'nude_painting' is the correct genre label.,genre
23,Impressionism/pierre-auguste-renoir_woman-in-blue.jpg,genre,0.977379,Impressionism,Impressionism,nude_painting,nude_painting,Pierre_Auguste_Renoir,Pierre_Auguste_Renoir,likely_label_issue,nude_painting,Manual audit: model prediction 'nude_painting' is the correct genre label.,genre
24,Impressionism/childe-hassam_the-hovel-and-the-skyscraper.jpg,genre,0.976488,Impressionism,Impressionism,cityscape,cityscape,Childe_Hassam,Childe_Hassam,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
25,Northern_Renaissance/albrecht-durer_the-knight-and-the-landsknecht.jpg,genre,0.975241,Northern_Renaissance,Northern_Renaissance,religious_painting,religious_painting,Albrecht_Durer,Albrecht_Durer,likely_label_issue,religious_painting,Manual audit: model prediction 'religious_painting' is the correct genre label.,genre
26,Northern_Renaissance/albrecht-durer_head-of-an-old-man-in-profile.jpg,genre,0.97117,Northern_Renaissance,Northern_Renaissance,sketch_and_study,sketch_and_study,Albrecht_Durer,Albrecht_Durer,likely_label_issue,sketch_and_study,Manual audit: model prediction 'sketch_and_study' is the correct genre label.,genre
27,Symbolism/nicholas-roerich_himalayas-study-1.jpg,genre,0.971158,Symbolism,Symbolism,landscape,landscape,Nicholas_Roerich,Nicholas_Roerich,likely_label_issue,landscape,Manual audit: model prediction 'landscape' is the correct genre label.,genre
28,Post_Impressionism/vincent-van-gogh_vegetable-gardens-in-montmartre-1887.jpg,genre,0.971076,Post_Impressionism,Post_Impressionism,cityscape,cityscape,Vincent_van_Gogh,Vincent_van_Gogh,likely_label_issue,cityscape,Manual audit: model prediction 'cityscape' is the correct genre label.,genre
29,Cubism/pablo-picasso_window-opened-to-the-street-penthieure-1920.jpg,genre,0.970767,Cubism,Cubism,still_life,still_life,Pablo_Picasso,Pablo_Picasso,likely_label_issue,still_life,Manual audit: model prediction 'still_life' is the correct genre label.,genre
1,Post_Impressionism/paul-cezanne_in-the-woods.jpg,style,0.98993,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.,style
2,Post_Impressionism/paul-cezanne_millstone-and-cistern-under-trees.jpg,style,0.989549,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.,style
3,Realism/martiros-saryan_portrait-of-an-art-critic-abram-efros-1944.jpg,style,0.989292,Expressionism,Expressionism,portrait,portrait,Martiros_Saryan,Martiros_Saryan,likely_label_issue,Expressionism,Manual audit: model prediction 'Expressionism' is the correct style label.,style
4,Realism/eugene-boudin_the-saint-simeon-farm-1860.jpg,style,0.989177,Impressionism,Impressionism,landscape,landscape,Eugene_Boudin,Eugene_Boudin,likely_label_issue,Impressionism,Manual audit: model prediction 'Impressionism' is the correct style label.,style
5,Post_Impressionism/paul-cezanne_mountains-in-provence-l-estaque.jpg,style,0.988463,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.,style
