rank_in_group,image_path,incorrect_tasks,mean_confidence,style_true_name,style_pred_name,genre_true_name,genre_pred_name,artist_true_name,artist_pred_name,verdict,suggested_label,notes
1,Post_Impressionism/paul-cezanne_in-the-woods.jpg,style,0.98993,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.
2,Post_Impressionism/paul-cezanne_millstone-and-cistern-under-trees.jpg,style,0.989549,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.
3,Realism/martiros-saryan_portrait-of-an-art-critic-abram-efros-1944.jpg,style,0.989292,Expressionism,Expressionism,portrait,portrait,Martiros_Saryan,Martiros_Saryan,likely_label_issue,Expressionism,Manual audit: model prediction 'Expressionism' is the correct style label.
4,Realism/eugene-boudin_the-saint-simeon-farm-1860.jpg,style,0.989177,Impressionism,Impressionism,landscape,landscape,Eugene_Boudin,Eugene_Boudin,likely_label_issue,Impressionism,Manual audit: model prediction 'Impressionism' is the correct style label.
5,Post_Impressionism/paul-cezanne_mountains-in-provence-l-estaque.jpg,style,0.988463,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.
6,Realism/eugene-boudin_beach-scene-trouville-1864-1.jpg,style,0.98772,Impressionism,Impressionism,genre_painting,genre_painting,Eugene_Boudin,Eugene_Boudin,likely_label_issue,Impressionism,Manual audit: model prediction 'Impressionism' is the correct style label.
7,Cubism/pablo-picasso_three-women-rhythmical-version-1908.jpg,style,0.985924,Analytical_Cubism,Analytical_Cubism,nude_painting,nude_painting,Pablo_Picasso,Pablo_Picasso,likely_label_issue,Analytical_Cubism,Manual audit: model prediction 'Analytical_Cubism' is the correct style label.
8,Realism/martiros-saryan_lalvar-1952.jpg,style,0.985689,Expressionism,Expressionism,landscape,landscape,Martiros_Saryan,Martiros_Saryan,likely_label_issue,Expressionism,Manual audit: model prediction 'Expressionism' is the correct style label.
9,Realism/martiros-saryan_armenia-1944.jpg,style,0.982395,Expressionism,Expressionism,sketch_and_study,sketch_and_study,Martiros_Saryan,Martiros_Saryan,likely_label_issue,Expressionism,Manual audit: model prediction 'Expressionism' is the correct style label.
10,Realism/eugene-boudin_the-port-portrieux-at-low-tide-1874.jpg,style,0.981665,Impressionism,Impressionism,landscape,landscape,Eugene_Boudin,Eugene_Boudin,likely_label_issue,Impressionism,Manual audit: model prediction 'Impressionism' is the correct style label.
11,Impressionism/paul-cezanne_l-estaque-view-through-the-trees-1879.jpg,style,0.981637,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.
12,Impressionism/paul-cezanne_portrait-of-madame-cezanne-1878.jpg,style,0.975752,Post_Impressionism,Post_Impressionism,portrait,portrait,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Post_Impressionism,Manual audit: model prediction 'Post_Impressionism' is the correct style label.
13,Post_Impressionism/paul-cezanne_mountains-in-provence-1890.jpg,style,0.974883,Cubism,Cubism,landscape,landscape,Paul_Cezanne,Paul_Cezanne,likely_label_issue,Cubism,Manual audit: model prediction 'Cubism' is the correct style label.
14,Impressionism/camille-pissarro_peasant-woman-watching-the-geese-1890.jpg,style,0.970837,Pointillism,Pointillism,genre_painting,genre_painting,Camille_Pissarro,Camille_Pissarro,likely_label_issue,Pointillism,Manual audit: model prediction 'Pointillism' is the correct style label.
